"pvalues","AOB","OB","rho_AOB","rho_OB"
0.240581888254655,5.2389844030605e-05,6.20046225096201e-05,0.0029621229945294,0.00174021441901268
0.0500000000000002,5.2389844030605e-05,6.09525977662141e-05,0.0044169895697788,0.00175579608769738
0.212162691622628,5.2389844030605e-05,5.99292740655293e-05,0.0058718561450282,0.00177233072487367
0.185022418504828,5.2389844030605e-05,5.89335784985077e-05,0.0073267227202776,0.00178505595042105
0.0545753001019258,5.2389844030605e-05,5.79644888779022e-05,0.008781589295527,0.00179826322869913
1,5.2389844030605e-05,5.70210308488338e-05,0.0102364558707764,0.00180331070039824
1,5.11625909290245e-05,5.61022751913895e-05,0.00157569540647978,0.00181975334395225
1,4.998138019654e-05,5.52073353007097e-05,0.00159027114981209,0.0018370559375011
0.000581635537387749,4.88438541573175e-05,5.43353648312481e-05,0.00160326014760407,0.00185277833873973
1,4.88438541573175e-05,5.34855554930105e-05,0.00281540399990531,0.00177232952976921
1,4.7747807234982e-05,5.26571349885889e-05,0.00113852935399793,0.00149789024570116
1,4.6691174172521e-05,5.18493650807342e-05,0.00107480446396545,0.00150608491469498
1,4.56720193127994e-05,5.1061539781045e-05,0.00103703600205096,0.00142701580094123
1,4.4688526831208e-05,5.02929836511142e-05,0.00100805903443939,0.00137014425305493
1,4.37389918243548e-05,4.9543050208168e-05,0.0010079081215055,0.00134991320236472
1,4.28218121695372e-05,4.88111204278647e-05,0.00100182964320754,0.0013287396021234
1,4.19354810792199e-05,4.80966013374986e-05,0.0010109616085493,0.00132001703495057
1,4.10785802830637e-05,4.73989246933786e-05,0.00102021432383864,0.00130801939243424
2.3507063346363e-05,4.0249773777367e-05,4.67175457366353e-05,0.00102958766057133,0.00129287672797592
1,4.0249773777367e-05,4.60519420221481e-05,0.00201892554736529,0.00128188477245589
0.002886125424427,3.94478020882193e-05,4.54016123156882e-05,0.00104838601444628,0.001273701337035
0.0779377073817282,3.94478020882193e-05,4.47660755547418e-05,0.00204112920747694,0.00126705287188337
0.302568944007467,3.94478020882193e-05,4.41448698688158e-05,0.00303188249803454,0.00127424331034363
0.00745835337433998,3.94478020882193e-05,4.35375516553399e-05,0.00402263578859214,0.00127245019412691
0.138672470470023,3.94478020882193e-05,4.29436947075617e-05,0.00499177874630878,0.0012658279944702
0.138672470470023,3.94478020882193e-05,4.23628893910962e-05,0.00594725905050804,0.00126100763501861
0.138672470470023,3.94478020882193e-05,4.17947418660293e-05,0.0069027393547073,0.00126324608250174
0.000391010487583825,3.94478020882193e-05,4.12388733516975e-05,0.00784033320095872,0.00126181925540906
0.000260264672651649,3.94478020882193e-05,4.06949194314709e-05,0.0087649286550367,0.00125538348709566
