"pvalues","alord","lord","rho_alord","rho_lord"
1,0.00731589470088298,0.00764616779850373,0.0573529368308503,0.0572815891865936
1,0.00386649107586655,0.00485974355766767,0.0338864104435439,0.0535001688964953
1,0.00247024960609828,0.00342692917806921,0.0321023257965559,0.0514536553890289
1,0.00175110098322395,0.00258081319945206,0.0299140277998349,0.048355010836908
1,0.00132555510193284,0.00203383545900366,0.0314627523518539,0.0442204193829405
0.00981212265982665,0.00104980241553158,0.00165687300848661,0.0335741548140785,0.0371515501197734
1,0.00104980241553158,0.00138438356796724,0.10677576387144,0.121928287410405
1,0.00085925608261323,0.00117999074504795,0.0479777062645002,0.0698416587772454
1,0.000721123033832643,0.00102208153146388,0.0423156193002443,0.0566938782092567
0.187665600735556,0.0006171960417101,0.000897104467842147,0.0350674060277694,0.0545658527702185
1,0.0006171960417101,0.000796183727503721,0.0628405876534355,0.0521224559064273
1,0.000536652025037346,0.000713292040484717,0.0339825053627001,0.0497568240256313
1,0.000472700764335225,0.000644210082259231,0.0331891523850373,0.0483541072932686
0.124277054798697,0.000420891638958174,0.000585906427372603,0.0349943103779144,0.0495426396874895
1,0.000420891638958174,0.000536153660609754,0.0632808604692877,0.0476299841011257
1.5522235524778e-07,0.000378199834730135,0.000493282732974172,0.0338225473780576,0.0507936422337874
1,0.0441270647807366,0.0879537510971134,0.108222045047932,0.138304570036037
1,0.0147742491709664,0.0292868707058882,0.0496030075977006,0.0825604794030757
1,0.00785578321610394,0.0154815941415701,0.0452411797788275,0.0724395814024099
1,0.00504711628928659,0.00989044876097546,0.0417851735195705,0.0674858732999319
1,0.00359536610255133,0.00700885924328063,0.0439459963472437,0.0669064595471412
0.16265963908722,0.00273299432569284,0.0053026330408375,0.041195901069456,0.062019577590523
1,0.00273299432569284,0.00419634967871421,0.075325535994346,0.0587791279168554
1,0.00217195679032073,0.00343151754031319,0.0419027399983891,0.0589151794609004
1,0.00178275178047973,0.00287684939641135,0.0452362649264563,0.0601475429778533
1,0.0014995369978151,0.00245942414541396,0.0439343409575761,0.0617625569838404
1,0.00128569579903757,0.00213587508972159,0.0479217230853063,0.0587401090752715
1,0.0011194208704635,0.00187898102984492,0.0424870362282177,0.0512797063233564
0.00472724405536621,0.000987002180638264,0.00167089031586262,0.0418731325672851,0.0438458801658691
1,0.000987002180638264,0.00149946343319251,0.122295901877334,0.129030764497127
1,0.000879433418642648,0.0013561891750835,0.0545941951788573,0.0700122088797036
1,0.000790579124505509,0.00123494245521104,0.0483613755347691,0.0607481704026728
1,0.000716129638603072,0.00113121483460737,0.0502915668692473,0.0587040275274102
0.000520362876800985,0.000652977618692273,0.00104162185292312,0.0443957068254303,0.0538417193183315
0.00315187983129389,0.0444018425646987,0.0884613082763522,0.123975383981694,0.138610320748352
1,0.0881507075107052,0.117256295823684,0.199031434645311,0.165486386354848
1,0.0294623181572257,0.0447850303286819,0.0758779303480635,0.104490046397141
1,0.0156389636566953,0.0253891236705014,0.0623267548847438,0.0871487216358512
1,0.0100324665856304,0.016916624962821,0.0583720199927151,0.0862174955007644
1,0.00713772008351258,0.0123288384380748,0.0582556283653873,0.0832370386054306
1,0.00542012455165362,0.00951620505240213,0.052858074016114,0.0785226489602341
0.0668615405692338,0.00430394346894574,0.00764485339535725,0.0515812466874454,0.0721217669145907
1,0.00430394346894574,0.00632503544640004,0.0925316177624132,0.152561688503214
1,0.00353043674200399,0.00535256632971972,0.0497018154679222,0.101833482010704
1,0.00296811954839288,0.00461117614573479,0.0539886042069825,0.0927402728949717
0.148148148148148,0.00254391200994666,0.00403029068012112,0.0585591786536607,0.0820246168016921
1,0.00254391200994666,0.00356484754565856,0.0972468149325383,0.073946747608426
1,0.00221431861698319,0.00318486356715559,0.046016790637062,0.0706775498556209
0.0832272035827724,0.00195201274280287,0.00286969410509816,0.0412197738738282,0.0647162088052213
0.240581888254655,0.00195201274280287,0.00260470747120341,0.0764483784218995,0.0639688750343472
0.0500000000000002,0.00195201274280287,0.00237927359773035,0.109601420133432,0.0622026466400107
0.212162691622628,0.00195201274280287,0.00218550214974625,0.181337934243081,0.147879758750933
0.185022418504828,0.00195201274280287,0.00201742540903772,0.209325583406723,0.0986015802646523
0.0545753001019258,0.00195201274280287,0.00187045438536136,0.27463814895243,0.0781573023743231
1,0.00195201274280287,0.00174100791214016,0.334980532951344,0.151891593701172
1,0.00173905574511214,0.00162625421233806,0.0822058789812322,0.0957727961596532
1,0.0015632357858116,0.00152392733833301,0.0660975254663019,0.0779784457641235
0.000581635537387749,0.00141598110841197,0.00143219452264522,0.0516072228821954,0.0686582185375266
1,0.0451648460544184,0.0888472887033752,0.128704754471106,0.153090920666947
1,0.0157228589493433,0.0301382732666612,0.0698496499307273,0.0983202945462913
1,0.00872758562313084,0.0162938489322336,0.0670255247886157,0.0813365361984279
1,0.00585217556116112,0.0106662993038372,0.064949893734917,0.0772392696889915
1,0.00434197115373888,0.00775081932148594,0.0675180623623754,0.069505681656623
1,0.00342804401749381,0.00601300338392874,0.0696872543417363,0.0650144134615678
1,0.00282124756664218,0.00487723543860148,0.0729339579097483,0.0650015682998515
1,0.00239119561321524,0.00408484548799898,0.0545266406158773,0.0638000632483015
1,0.00207132875755336,0.003504384258751,0.054478884571632,0.0630887967878838
2.3507063346363e-05,0.00182444336694496,0.00306278379516015,0.055581595854528,0.0636797769301978
1,0.0455733083129514,0.0902142743692541,0.150416904134846,0.151767908076853
0.002886125424427,0.0160599907672639,0.0313018115390226,0.073293905867025,0.0940643162870689
0.0779377073817282,0.0598088557132704,0.104794890429405,0.165128127072934,0.16630381062449
0.302568944007467,0.0598088557132704,0.12790244157648,0.25449426608688,0.194175071653908
0.00745835337433998,0.0598088557132704,0.0524718054859834,0.294877799680737,0.127150543019744
0.138672470470023,0.103557720659277,0.118803581431121,0.375087605196662,0.20119308300829
0.138672470470023,0.103557720659277,0.0505374521025505,0.45081085996647,0.222534547126057
0.138672470470023,0.103557720659277,0.0313635977554733,0.519240718945303,0.233999409807656
0.000391010487583825,0.103557720659277,0.022392568393758,0.582217913862548,0.243167672926064
0.000260264672651649,0.147306585605283,0.104709906987056,0.63974722032263,0.24992824878153
0.0152394775036284,0.19105545055129,0.130215732218756,0.697276526782712,0.25824767300286
0.0482665995826898,0.234804315497296,0.142960524021993,0.741025391728719,0.247823866026913
